OBJECTID,Intersection,Signal,LONG,LAT
1,BRIDGE ST & BAY ST,Countdown Signalized Intersection,-123.372601459457,48.4354142362439
2,BROUGHTON ST & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.362701228264,48.423496620735
3,BURNSIDE RD E & BALFOUR AVE,Signalized Intersection,-123.382420711354,48.4483638950428
4,CALEDONIA AVE & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.361742387341,48.4310646729235
5,CHATHAM ST & CALEDONIA AVE,Countdown Signalized Intersection,-123.364523882381,48.4310951993686
6,COOK ST & CALEDONIA AVE,Signalized Intersection,-123.352867152439,48.4304675851165
7,COOK ST & BAY ST,Audible and Countdown Signalized Intersection,-123.352269268203,48.4349761843036
8,COURTNEY ST & BLANSHARD ST,Countdown Signalized Intersection,-123.362907758132,48.422666924132
9,DOUGLAS ST & BURNSIDE RD E,Audible and Countdown Signalized Intersection,-123.368938515266,48.4418923838378
10,DOUGLAS ST & BELLEVILLE ST,Audible and Countdown Signalized Intersection,-123.366330803876,48.420229642028
11,DOUGLAS ST & BURDETT AVE,Countdown Signalized Intersection,-123.36602168982,48.4222129914226
12,DOUGLAS ST & BROUGHTON ST,Countdown Signalized Intersection,-123.365528273025,48.4238788280497
13,DOUGLAS ST & BAY ST,Audible and Countdown Signalized Intersection,-123.365468374337,48.4357024497828
14,ESQUIMALT RD & CATHERINE ST,Signalized Intersection,-123.384710983519,48.4303850167207
15,FAIRFIELD RD & BLANSHARD ST,Countdown Signalized Intersection,-123.363074522651,48.4211517061409
16,FAIRFIELD RD & COOK ST,Audible and Countdown Signalized Intersection,-123.355372970667,48.4180147414196
17,FERNWOOD RD & BAY ST,Audible and Countdown Signalized Intersection,-123.344977243153,48.4345022906453
18,FINLAYSON ST & BURNSIDE RD E,Signalized Intersection,-123.373933133934,48.4442191764038
19,FINLAYSON ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.370737281427,48.4450351058784
20,FINLAYSON ST & BLANSHARD ST,Countdown Signalized Intersection,-123.366505387877,48.4455748849047
21,FINLAYSON ST & COOK ST,Signalized Intersection,-123.349831412894,48.4477305942966
22,FINLAYSON ST & CEDAR HILL RD,Signalized Intersection,-123.34395040355,48.4483629447568
23,FISGARD ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.364457452827,48.4294118274791
24,FISGARD ST & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.36186893208,48.4293558698575
25,FISGARD ST & BALMORAL RD,Signalized Intersection,-123.358843335474,48.4290642796204
26,FORT ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.365342199552,48.4246149106229
27,FORT ST & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.362493410351,48.4243174040638
28,FORT ST & COOK ST,Audible Signalized Intersection,-123.354041351714,48.4233940819787
29,FOUL BAY RD & FORT ST,Audible Signalized Intersection,-123.322456182763,48.4321511929351
30,GORGE RD E & BALFOUR AVE,Signalized Intersection,-123.386374456142,48.4434857531428
31,GORGE RD E & BRIDGE ST,Audible Signalized Intersection,-123.373230709789,48.4405118646779
32,GOVERNMENT ST & BELLEVILLE ST,Audible and Countdown Signalized Intersection,-123.368867473651,48.4206487008188
33,GOVERNMENT ST & FORT ST,Signalized Intersection,-123.367852834088,48.4248738088997
34,GOVERNMENT ST & BASTION SQ,Signalized Intersection,-123.36766320289,48.4257044697097
35,GOVERNMENT ST & BAY ST,Audible and Countdown Signalized Intersection,-123.367334012014,48.4357710585482
36,GOVERNMENT ST & CHATHAM ST,Signalized Intersection,-123.367139637793,48.4310567443682
37,GOVERNMENT ST & FISGARD ST,Signalized Intersection,-123.367071639695,48.4293729501597
38,HARBOUR RD & ESQUIMALT RD,Audible and Countdown Signalized Intersection,-123.374941392637,48.4281541261759
39,HARRIET RD & GORGE RD E,Signalized Intersection,-123.390472115857,48.4439233768495
40,HARRIET RD & BURNSIDE RD E,Signalized Intersection,-123.384584334018,48.4494573368745
41,HERALD ST & DOUGLAS ST,Countdown Signalized Intersection,-123.36449064172,48.4302503499254
42,HILLSIDE AVE & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.367043261102,48.438336428066
43,HILLSIDE AVE & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.36332454392,48.4388787697881
44,HILLSIDE AVE & COOK ST,Audible Signalized Intersection,-123.35173133976,48.4403674660559
45,HILLSIDE AVE & CEDAR HILL RD,Signalized Intersection,-123.344261770229,48.441303948016
46,HILLSIDE AVE & GOSWORTH RD,Audible and Countdown Signalized Intersection,-123.341235716266,48.4424973658863
47,HILLSIDE AVE & DONCASTER DR,Audible and Countdown Signalized Intersection,-123.338230679134,48.443694785899
48,HUMBOLDT ST & GOVERNMENT ST,Countdown Signalized Intersection,-123.368326990061,48.4229439949416
49,HUMBOLDT ST & BLANSHARD ST,Countdown Signalized Intersection,-123.363855956152,48.4205319399583
50,JOHNSON ST & GOVERNMENT ST,Audible and Countdown Signalized Intersection,-123.367234653793,48.4274772855966
51,JOHNSON ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.364692400692,48.4271955287023
